MD	TVD
5012.5	4936.348862
5013	4936.841266
5013.5	4937.33367
5014	4937.826074
5014.5	4938.318477
5015	4938.810881
5015.5	4939.303285
5016	4939.795689
5016.5	4940.288093
5017	4940.780497
5017.5	4941.272901
5018	4941.765305
5018.5	4942.257708
5019	4942.750112
5019.5	4943.242516
5020	4943.73492
5020.5	4944.227324
5021	4944.719728
5021.5	4945.212132
5022	4945.704536
5022.5	4946.19694
5023	4946.689343
5023.5	4947.181747
5024	4947.674151
5024.5	4948.166555
5025	4948.658959
5025.5	4949.151363
5026	4949.643767
5026.5	4950.136171
5027	4950.628574
5027.5	4951.120978
5028	4951.613382
5028.5	4952.105786
5029	4952.59819
5029.5	4953.090594
5030	4953.582998
5030.5	4954.075402
5031	4954.567805
5031.5	4955.060209
5032	4955.552613
5032.5	4956.045017
5033	4956.537421
5033.5	4957.029825
5034	4957.522229
5034.5	4958.014633
5035	4958.507036
5035.5	4958.99944
5036	4959.491844
5036.5	4959.984248
5037	4960.476652
5037.5	4960.969056
5038	4961.46146
5038.5	4961.953864
5039	4962.446267
5039.5	4962.938671
5040	4963.431075
5040.5	4963.923479
5041	4964.415883
5041.5	4964.908287
5042	4965.400691
5042.5	4965.893095
5043	4966.385498
5043.5	4966.877902
5044	4967.370306
5044.5	4967.86271
5045	4968.355114
5045.5	4968.847518
5046	4969.339922
5046.5	4969.832326
5047	4970.324729
5047.5	4970.817133
5048	4971.309537
5048.5	4971.801941
5049	4972.294345
5049.5	4972.786749
5050	4973.279153
